sonda,resistente_exp,sensible_exp
1007_s_at,5.216078035,5.2055735
1053_at,7.574165095,7.804746004
117_at,4.701081758,4.809516014
121_at,6.991343678,7.060027921
1255_g_at,2.420915371,2.477671584
1294_at,8.211813092,8.221592124
1316_at,5.331895246,5.491592877
1320_at,3.724809766,3.792705695
1405_i_at,5.260557849,5.641710194
1431_at,3.330023549,3.69587449
1438_at,4.367639133,4.424682024
1487_at,5.689628891,5.807277298
1494_f_at,4.079750912,4.216915072
1552256_a_at,7.377029865,7.447106465
1552257_a_at,8.470755932,8.666944466
1552258_at,5.961920999,6.073033119
1552261_at,3.791423751,3.80488141
1552263_at,6.604065249,6.329474427
1552264_a_at,7.356980644,7.263002783
1552266_at,3.810580113,3.466556714
1552269_at,2.593156726,2.561250583
1552271_at,4.420214603,4.456794477
1552272_a_at,4.628908798,4.73462292
1552274_at,5.570901031,5.755564591
1552275_s_at,5.840890194,6.010102543
1552276_a_at,4.498880049,4.683919018
1552277_a_at,7.053281745,7.131319999
1552278_a_at,2.903081809,2.886382655
1552279_a_at,4.969463579,4.995335548
1552280_at,2.519407593,2.660252602
1552281_at,6.000928742,6.043150853
1552283_s_at,3.532548849,3.433356461
1552286_at,5.502129044,5.307116903
1552287_s_at,7.071889433,6.86516026
1552288_at,3.054655686,3.149433462
1552289_a_at,3.483234514,3.602713714
1552291_at,7.744761527,7.527776137
1552293_at,3.696253362,3.717168776
1552295_a_at,5.148399262,5.255713416
1552296_at,2.937746877,2.916915282
1552299_at,3.308298341,3.373502528
1552301_a_at,4.341894868,4.419203427
1552302_at,4.41994481,3.797058537
1552303_a_at,4.42410829,4.110016323
1552304_at,4.043181996,3.640471807
1552306_at,4.849177631,4.101227393
1552307_a_at,4.991536942,4.855336495
1552309_a_at,3.626109225,4.040057321
1552310_at,7.281843067,6.965716848
1552311_a_at,5.408968389,5.525002649
1552312_a_at,4.30548541,4.291599143
1552314_a_at,4.370655788,4.36734374
1552315_at,3.910259019,3.830422452
1552316_a_at,4.851763846,4.371669366
1552318_at,3.016882426,2.929891124
1552319_a_at,3.154956859,3.233096986
1552320_a_at,2.435299237,2.406764214
1552321_a_at,2.655253962,2.637076027
1552322_at,2.368638197,2.33617116
1552323_s_at,3.930772965,3.774997255
1552325_at,2.36433404,2.363890951
1552326_a_at,3.65208727,3.752348924
1552327_at,2.639218675,2.61312152
1552329_at,7.642364198,7.278920046
1552330_at,3.254488286,3.013997918
1552332_at,6.254955865,6.361445841
1552334_at,3.802006857,3.941420851
1552335_at,5.491104789,5.700498025
1552337_s_at,3.159212816,3.169871627
1552338_at,3.283397548,3.384084741
1552340_at,3.180494629,3.288234205
1552343_s_at,3.736259496,3.630047058
1552344_s_at,6.590875138,6.507426075
1552347_at,5.917803141,5.746289916
1552348_at,5.205350208,5.259840732
1552349_a_at,3.853092381,3.908203493
1552354_at,4.68445643,4.813071847
1552355_s_at,4.521294846,4.526962328
1552359_at,2.319085771,2.370982473
1552360_a_at,3.394949727,3.21779831
1552362_a_at,5.503998826,5.293888191
1552364_s_at,5.516724074,5.412411736
1552365_at,2.222949125,2.334017476
1552367_a_at,2.642423578,2.665506261
1552368_at,2.844945313,2.887532918
1552370_at,6.234443307,6.11877927
1552372_at,2.060306924,2.101282962
1552373_s_at,2.322491334,2.213970502
1552375_at,3.915006975,3.788867318
1552377_s_at,5.792033054,5.951269031
1552378_s_at,3.387668387,3.424992783
1552379_at,2.060137247,2.079357917
1552381_at,2.892683214,2.885403806
1552383_at,5.661314499,5.612480578
1552384_a_at,5.090858758,4.849952338
1552386_at,7.256516416,6.421285227
1552388_at,4.340392406,4.380086348
1552389_at,2.281128016,2.388021954
1552390_a_at,2.340321206,2.414743945
1552391_at,2.913957176,3.065212541
1552393_at,2.251344617,2.227686119
1552394_a_at,2.37836417,2.354606547
1552395_at,5.616564681,5.758550756
1552396_at,3.196589191,3.152171642
1552398_a_at,5.963910679,6.490448929
1552399_a_at,2.812321612,2.976805082
1552400_a_at,3.985850356,4.087670971
1552401_a_at,2.854137502,2.905581086
1552402_at,3.352878819,3.418397913
1552405_at,3.373208244,3.400522702
1552408_at,2.385920409,2.466893899
1552409_a_at,4.919190429,4.91596009
1552410_at,4.037072078,4.005956817
1552411_at,4.997350191,4.942582158
1552412_a_at,2.845534634,2.805272604
1552414_at,3.360932943,3.312463992
1552415_a_at,3.524495504,3.634759812
1552417_a_at,4.024175435,4.156373892
1552418_at,3.914802745,4.108906106
1552419_s_at,5.523530722,5.602825994
1552421_a_at,2.734944153,2.765698973
1552422_at,5.619006173,5.288529645
1552423_at,6.295073551,5.88523869
1552424_at,2.647256579,2.632895986
1552425_a_at,3.751541636,3.705027323
1552426_a_at,9.278551646,9.056542549
1552427_at,4.199997432,3.619101813
1552430_at,2.546551071,2.491114833
1552432_at,4.217960513,4.163505687
1552436_a_at,3.353049526,3.32424132
1552438_a_at,2.801532585,2.869071744
1552439_s_at,2.450966668,2.489057368
1552440_at,3.417352833,3.409180237
1552445_a_at,2.443935055,2.494490692
1552448_a_at,3.010386075,3.02039908
1552449_a_at,2.895688529,3.084164154
1552450_a_at,4.376260327,4.347113545
1552452_at,2.634495639,2.656042115
1552453_a_at,3.216734997,3.261522218
1552455_at,2.567181771,2.563925069
1552456_a_at,3.800812267,3.961476706
1552457_a_at,2.535945495,2.490230625
1552458_at,2.317020819,2.466703898
1552459_a_at,3.110165287,3.143186934
1552461_at,2.373896656,2.429679351
1552463_at,2.714615712,2.77614439
1552466_x_at,2.231566875,2.265654368
1552467_at,5.495631098,5.543559018
1552468_a_at,3.789133078,3.855277388
1552470_a_at,2.573312613,2.61212636
1552472_a_at,6.536846494,6.72391149
1552473_at,7.041257882,7.037475639
1552474_a_at,6.694503112,6.777804143
1552476_s_at,4.396064094,4.466006121
1552477_a_at,3.068353593,3.207330118
1552478_a_at,2.529206923,2.660960129
1552480_s_at,2.434068248,2.3096844
1552481_s_at,3.420505834,3.354957129
1552482_at,2.717801035,2.789338414
1552484_at,4.933246467,4.992559177
