"","x"
"1555745_a_at",7.57342850061075
"213524_s_at",5.90918044724318
"205863_at",4.6645461120058
"205237_at",6.13997935717201
"206871_at",6.11508763333623
"202917_s_at",8.14473698746018
"210254_at",6.22161911795363
"204614_at",5.13634856073317
"204971_at",7.72455317926734
"1556346_at",5.362165973702
"202411_at",5.2958238948667
"218454_at",5.54875277396168
"203815_at",5.83368541455112
"218559_s_at",6.6543136168828
"214575_s_at",5.93884444693923
"203887_s_at",4.51352119225901
"202207_at",5.79617519270704
"203948_s_at",8.26313055870042
"1559910_at",4.03140030968478
"222670_s_at",6.0367978922741
"230748_at",5.01037630918675
"204912_at",5.89770445789184
"202833_s_at",4.31392051226213
"205653_at",7.51994638335993
"211429_s_at",5.84839614349377
"211745_x_at",8.86064006791234
"202295_s_at",5.6308157666563
"203535_at",6.93467794799513
"219672_at",7.79785002752915
"1555756_a_at",3.18459241796591
"214414_x_at",10.6515315661936
"209458_x_at",8.76438849892081
"211699_x_at",8.08259200641875
"204018_x_at",8.08745856908433
"213975_s_at",10.8542417673745
"221698_s_at",5.85234328675868
"217414_x_at",8.13362621191414
"221840_at",7.133758144694
"201422_at",7.83838097136567
"1554892_a_at",4.18499918056837
"210845_s_at",6.70363217551604
