"","x"
"225688_s_at",4.21868883938252
"212592_at",6.7386095901791
"238919_at",2.90374239330024
"1554997_a_at",4.40408969497799
"236203_at",3.74735508372241
"205848_at",5.92147549699639
"219454_at",4.21463616745932
"213094_at",4.72692367093855
"235763_at",2.45640989684773
"238206_at",5.73702150158859
"214455_at",3.84085496721202
"210387_at",6.34771954033936
"204748_at",8.03488167489076
"239451_at",5.06595176070398
"1552715_a_at",4.41852105861547
"214472_at",4.73905451660895
"228372_at",5.5465869935058
"229530_at",5.22511421962336
"236193_at",4.55624540505534
"205612_at",5.83693370045417
"229963_at",5.84869222150694
"230836_at",3.37281807970298
"234994_at",2.90482633416262
"232752_at",3.66998520323182
"235342_at",3.08418101970684
"213194_at",4.83466741819678
"224588_at",6.89331201229942
"206950_at",4.8279466026085
"229437_at",7.12145729204574
"222872_x_at",5.32031748802399
"227235_at",5.7901736479556
"226003_at",3.27918986174497
"207426_s_at",4.31874764070214
"233085_s_at",4.71418582021227
"218502_s_at",4.14584122981318
"215071_s_at",6.86429089687395
"202581_at",5.85962375820407
"222908_at",5.75655353195167
"219602_s_at",6.49343619419199
"232235_at",2.91995118328832
"204794_at",7.26806066874643
"219737_s_at",4.46868765301152
"222162_s_at",4.53309781990193
"230791_at",3.35063131519166
"219410_at",4.5400839711818
"228919_at",6.04623887939751
"219304_s_at",5.41891157605706
"228708_at",9.0950774792986
"221728_x_at",6.284517606334
"231804_at",5.08217881539751
"236451_at",5.44945547935521
"209774_x_at",8.36076251145373
"204753_s_at",4.28515182529929
"205608_s_at",4.89393143866211
"214218_s_at",5.30369274027364
"209839_at",4.49648536819588
"242292_at",3.1768026653059
"210299_s_at",5.77522890311515
"227082_at",4.7139928260643
"235046_at",5.37597338439038
"219871_at",4.24623510166088
"1562235_s_at",3.83668509541272
"205609_at",6.42045057327425
"204438_at",4.90139706126038
"210621_s_at",6.60174292746492
"207850_at",7.24854953811251
"204755_x_at",3.71819001777552
"240574_at",3.50519599252537
"227671_at",5.29917250964599
"223503_at",6.21401931304537
"222885_at",3.71741892339544
"204749_at",6.94786465855844
"202948_at",4.23453340463727
"227314_at",3.18511151264554
"226425_at",6.24125541855536
"222717_at",6.15589895974416
"209480_at",5.95780543024619
"206110_at",5.48275189068341
"203102_s_at",6.4798952682116
"230261_at",3.95094958845858
"224827_at",4.96157411807365
"241991_at",4.46842797101886
"226210_s_at",2.9815881512555
"213388_at",3.82374632359667
"209348_s_at",4.32836442575413
"235852_at",4.40902867581716
"219371_s_at",7.51673827754184
"225897_at",5.8328747456995
"232383_at",5.06744413869176
"216379_x_at",5.06419821082708
"227626_at",5.60445876661143
"238013_at",5.02134675587845
"205637_s_at",4.8798117741262
"213506_at",7.98591895971314
"233011_at",7.86031921210099
"239123_at",3.64748044610196
