"","x"
"1555745_a_at",9.5574282514411
"213524_s_at",7.74594471754096
"205863_at",6.40074155775997
"205237_at",7.76650691402379
"206871_at",7.74151997175764
"202917_s_at",9.75814416327384
"210254_at",7.80452206850824
"204614_at",6.6659729475195
"204971_at",9.05562377101515
"1556346_at",6.67490258712187
"202411_at",6.60484511749584
"218454_at",6.85167965094554
"203815_at",7.12900697779104
"218559_s_at",7.94622912092581
"214575_s_at",7.21320664450859
"203887_s_at",5.76022221767871
"202207_at",7.03900344003609
"203948_s_at",9.50441829380135
"1559910_at",5.25849633591035
"222670_s_at",7.24643142646577
"230748_at",6.19696599228739
"204912_at",7.08247996242447
"202833_s_at",5.49527554982953
"205653_at",8.68710549323759
"211429_s_at",7.01181828837139
"211745_x_at",10.0136208865249
"202295_s_at",6.78243727502464
"203535_at",8.07950702037231
"219672_at",8.93867281775974
"1555756_a_at",4.32001801794569
"214414_x_at",11.7859326251762
"209458_x_at",9.87671270446606
"211699_x_at",9.19280342080394
"204018_x_at",9.188028150868
"213975_s_at",11.9241028252678
"221698_s_at",6.9112262365013
"217414_x_at",9.19185967820549
"221840_at",8.16024179692481
"201422_at",8.85539543090534
"1554892_a_at",5.1906825517439
"210845_s_at",7.70455958343503
